ID,Estado_de_la_desaparicion,Clasificacion_de_la_desaparicion,Fecha_de_la_desaparicion,Edad,Sexo,Pais,Ancestro,Estado_civil,Escolaridad,Pertenencia_grupal,Pais_de_desaparicion,Municio,Departamento,Contexto
176029,Aparecio Vivo,Sin Información,2023-01-01T00:00:00.000,16,Mujer,Panamá,Negro,Soltero (a),Educación básica secundaria o secundaria baja,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C.,Desaparición
176034,Aparecio Muerto,Sin Información,2023-01-01T00:00:00.000,19,Hombre,Venezuela,Mestizo,Soltero (a),Sin información,Ninguno,Colombia,Cúcuta,Norte De Santander,Desaparición
176043,Aparecio Vivo,Sin Información,2023-01-01T00:00:00.000,17,Mujer,Colombia,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Medellín,Antioquia,Desaparición
176044,Aparecio Vivo,Sin Información,2023-01-01T00:00:00.000,63,Hombre,Sin Información,Blanco,Casado (a),Educación media o secundaria alta,Ninguno,Colombia,Jamundí,Valle Del Cauca,Desaparición
176051,Aparecio Vivo,Sin Información,2023-01-02T00:00:00.000,14,Mujer,Colombia,Blanco,Soltero (a),Educación básica secundaria o secundaria baja,Sin información,Colombia,Cali,Valle Del Cauca,Desaparición
176053,Desaparecido,Sin Información,2023-01-02T00:00:00.000,30,Hombre,Colombia,Sin Información,Unión Libre,Educación media o secundaria alta,Ninguno,Colombia,Girardot,Cundinamarca,Desaparición
176056,Aparecio Vivo,Sin Información,2023-01-01T00:00:00.000,24,Hombre,Colombia,Mestizo,Soltero (a),Educación media o secundaria alta,Persona adicta a una droga natural o sintética,Colombia,Bogotá D.C.,Bogotá D.C.,Desaparición
176058,Aparecio Vivo,Sin Información,2023-01-03T00:00:00.000,94,Hombre,Colombia,Mestizo,Casado (a),Sin escolaridad,Ninguno,Colombia,Facatativá,Cundinamarca,Desaparición
176061,Aparecio Vivo,Sin Información,2023-01-01T00:00:00.000,25,Hombre,Colombia,Mulato,Soltero (a),Educación media o secundaria alta,Persona adicta a una droga natural o sintética,Colombia,Bogotá D.C.,Bogotá D.C.,Desaparición
176063,Desaparecido,Sin Información,2023-01-01T00:00:00.000,67,Hombre,Colombia,Mestizo,Soltero (a),Educación inicial y educación preescolar,Persona adicta a una droga natural o sintética,Colombia,Bogotá D.C.,Bogotá D.C.,Desaparición
176068,Desaparecido,Sin Información,2023-01-02T00:00:00.000,72,Mujer,Colombia,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C.,Desaparición
176073,Aparecio Vivo,Sin Información,2023-01-02T00:00:00.000,14,Mujer,Venezuela,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C.,Desaparición
176076,Aparecio Vivo,Sin Información,2023-01-02T00:00:00.000,32,Mujer,Colombia,Sin Información,"Separado(a),Divorciado(a)",Educación técnica profesional y tecnológica,Ninguno,Colombia,Rivera,Huila,Desaparición
176078,Aparecio Vivo,Sin Información,2023-01-01T00:00:00.000,61,Mujer,Colombia,Negro,Soltero (a),Educación inicial y educación preescolar,Otro,Colombia,Bogotá D.C.,Bogotá D.C.,Desaparición
176079,Aparecio Vivo,Sin Información,2023-01-02T00:00:00.000,31,Hombre,Colombia,Negro,Soltero (a),Educación inicial y educación preescolar,Otro,Colombia,Cali,Valle Del Cauca,Desaparición
176086,Aparecio Vivo,Sin Información,2023-01-02T00:00:00.000,70,Hombre,Colombia,Mestizo,Casado (a),Sin información,Ninguno,Colombia,Cúcuta,Norte De Santander,Desaparición
176090,Aparecio Vivo,Sin Información,2023-01-04T00:00:00.000,69,Hombre,Colombia,Mestizo,Casado (a),Educación básica primaria,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C.,Desaparición
176095,Desaparecido,Sin Información,2023-01-03T00:00:00.000,71,Hombre,Colombia,Sin Información,Casado (a),Sin información,Sin información,Colombia,Espinal,Tolima,Desaparición
176096,Desaparecido,Sin Información,2023-01-02T00:00:00.000,36,Mujer,Colombia,Mestizo,Unión Libre,Educación media o secundaria alta,Otro,Colombia,Cali,Valle Del Cauca,Desaparición
176100,Aparecio Vivo,Sin Información,2023-01-03T00:00:00.000,13,Mujer,Venezuela,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Santa Marta,Magdalena,Desaparición
176101,Desaparecido,Sin Información,2023-01-04T00:00:00.000,52,Hombre,Colombia,Mestizo,Casado (a),Educación técnica profesional y tecnológica,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C.,Desaparición
176103,Desaparecido,Sin Información,2023-01-04T00:00:00.000,22,Hombre,Colombia,Mestizo,Soltero (a),Educación media o secundaria alta,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C.,Desaparición
176104,Desaparecido,Sin Información,2023-01-01T00:00:00.000,23,Hombre,Colombia,Mestizo,Soltero (a),Educación básica secundaria o secundaria baja,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C.,Desaparición
176106,Aparecio Muerto,Desaparición Presuntamente Forzada,2023-01-01T00:00:00.000,40,Mujer,Colombia,Sin Información,Unión Libre,Educación media o secundaria alta,Ninguno,Colombia,Galapa,Atlántico,Desaparición
176108,Desaparecido,Sin Información,2023-01-02T00:00:00.000,30,Hombre,Colombia,Mestizo,Unión Libre,Educación media o secundaria alta,Persona adicta a una droga natural o sintética,Colombia,Bogotá D.C.,Bogotá D.C.,Desaparición
176109,Aparecio Vivo,Sin Información,2023-01-05T00:00:00.000,18,Mujer,Colombia,Mestizo,Unión Libre,Educación básica primaria,Sin información,Colombia,Cali,Valle Del Cauca,Desaparición
176110,Desaparecido,Sin Información,2023-01-03T00:00:00.000,35,Mujer,Colombia,Mestizo,Unión Libre,Educación media o secundaria alta,Sin información,Colombia,Villavicencio,Meta,Desaparición
176111,Desaparecido,Sin Información,2023-01-04T00:00:00.000,15,Mujer,Colombia,Mestizo,Sin Información,Educación inicial y educación preescolar,Ninguno,Colombia,Cartago,Valle Del Cauca,Desaparición
176112,Aparecio Muerto,Sin Información,2023-01-01T00:00:00.000,22,Mujer,Colombia,Mestizo,"Separado(a),Divorciado(a)",Educación básica primaria,Persona adicta a una droga natural o sintética,Colombia,Facatativá,Cundinamarca,Desaparición
176113,Aparecio Vivo,Sin Información,2023-01-04T00:00:00.000,16,Mujer,Colombia,Sin Información,Soltero (a),Educación básica secundaria o secundaria baja,Ninguno,Colombia,Manizales,Caldas,Desaparición
176115,Aparecio Vivo,Sin Información,2023-01-04T00:00:00.000,44,Hombre,Colombia,Mestizo,Soltero (a),Educación media o secundaria alta,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C.,Desaparición
176116,Aparecio Vivo,Sin Información,2023-01-01T00:00:00.000,51,Hombre,Colombia,Mestizo,Soltero (a),Educación básica primaria,Persona adicta a una droga natural o sintética,Colombia,Chinchiná,Caldas,Desaparición
176117,Aparecio Muerto,Sin Información,2023-01-05T00:00:00.000,61,Mujer,Colombia,Sin Información,Soltero (a),Educación media o secundaria alta,Sin información,Colombia,Cali,Valle Del Cauca,Desaparición
176118,Aparecio Vivo,Sin Información,2023-01-03T00:00:00.000,26,Hombre,Colombia,Mestizo,Soltero (a),Educación media o secundaria alta,Ninguno,Colombia,Cúcuta,Norte De Santander,Desaparición
176121,Desaparecido,Sin Información,2023-01-02T00:00:00.000,68,Hombre,Colombia,Mestizo,Casado (a),Educación básica primaria,Ninguno,Colombia,Buenavista,Quindio,Desaparición
176122,Desaparecido,Sin Información,2023-01-03T00:00:00.000,15,Hombre,Colombia,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C.,Desaparición
176123,Desaparecido,Sin Información,2023-01-03T00:00:00.000,2,Mujer,Colombia,Sin Información,No Aplica,Sin escolaridad,Ninguno,Colombia,Marinilla,Antioquia,Desaparición
176124,Aparecio Vivo,Sin Información,2023-01-05T00:00:00.000,32,Mujer,Colombia,Mestizo,Soltero (a),Educación técnica profesional y tecnológica,Ninguno,Colombia,Cúcuta,Norte De Santander,Desaparición
176125,Aparecio Vivo,Sin Información,2023-01-04T00:00:00.000,31,Hombre,Colombia,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C.,Desaparición
